DATE,BOGZ1FA895050005Q
1946-10-01,53699.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,63265.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,81774.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,75590.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,98677.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,112300.0
1952-01-01,111175.0
1952-04-01,106454.0
1952-07-01,109800.0
1952-10-01,117777.0
1953-01-01,121870.0
1953-04-01,122773.0
1953-07-01,121542.0
1953-10-01,114596.0
1954-01-01,113960.0
1954-04-01,113934.0
1954-07-01,115847.0
1954-10-01,120549.0
1955-01-01,129445.0
1955-04-01,136209.0
1955-07-01,139407.0
1955-10-01,142586.0
1956-01-01,141445.0
1956-04-01,141313.0
1956-07-01,143610.0
1956-10-01,145107.0
1957-01-01,147494.0
1957-04-01,147252.0
1957-07-01,149270.0
1957-10-01,140820.0
1958-01-01,134566.0
1958-04-01,132908.0
1958-07-01,141492.0
1958-10-01,152089.0
1959-01-01,160001.0
1959-04-01,167847.0
1959-07-01,162861.0
1959-10-01,162502.0
1960-01-01,174001.0
1960-04-01,165627.0
1960-07-01,166077.0
1960-10-01,154552.0
1961-01-01,157359.0
1961-04-01,162981.0
1961-07-01,172303.0
1961-10-01,178027.0
1962-01-01,184527.0
1962-04-01,184315.0
1962-07-01,187514.0
1962-10-01,186524.0
1963-01-01,191701.0
1963-04-01,195157.0
1963-07-01,201144.0
1963-10-01,203998.0
1964-01-01,209966.0
1964-04-01,212107.0
1964-07-01,216047.0
1964-10-01,216702.0
1965-01-01,233095.0
1965-04-01,234228.0
1965-07-01,242120.0
1965-10-01,247503.0
1966-01-01,263523.0
1966-04-01,260431.0
1966-07-01,264787.0
1966-10-01,269780.0
1967-01-01,266863.0
1967-04-01,263367.0
1967-07-01,270266.0
1967-10-01,276343.0
1968-01-01,286329.0
1968-04-01,296243.0
1968-07-01,297175.0
1968-10-01,302521.0
1969-01-01,317307.0
1969-04-01,316228.0
1969-07-01,321459.0
1969-10-01,312764.0
1970-01-01,310380.0
1970-04-01,314843.0
1970-07-01,319632.0
1970-10-01,308982.0
1971-01-01,338598.0
1971-04-01,349437.0
1971-07-01,357289.0
1971-10-01,356541.0
1972-01-01,374756.0
1972-04-01,392604.0
1972-07-01,400429.0
1972-10-01,415830.0
1973-01-01,442684.0
1973-04-01,455447.0
1973-07-01,450232.0
1973-10-01,465913.0
1974-01-01,456964.0
1974-04-01,474722.0
1974-07-01,475837.0
1974-10-01,478915.0
1975-01-01,449480.0
1975-04-01,449128.0
1975-07-01,486754.0
1975-10-01,508273.0
1976-01-01,547930.0
1976-04-01,564061.0
1976-07-01,573439.0
1976-10-01,587230.0
1977-01-01,621416.0
1977-04-01,658496.0
1977-07-01,686738.0
1977-10-01,700865.0
1978-01-01,712417.0
1978-04-01,776392.0
1978-07-01,803421.0
1978-10-01,836422.0
1979-01-01,843613.0
1979-04-01,863201.0
1979-07-01,886213.0
1979-10-01,889684.0
1980-01-01,905938.0
1980-04-01,850934.0
1980-07-01,838886.0
1980-10-01,910033.0
1981-01-01,994544.0
1981-04-01,979116.0
1981-07-01,1032230.0
1981-10-01,1015585.0
1982-01-01,965162.0
1982-04-01,979178.0
1982-07-01,982175.0
1982-10-01,956077.0
1983-01-01,977283.0
1983-04-01,1046882.0
1983-07-01,1104545.0
1983-10-01,1190215.0
1984-01-01,1281874.0
1984-04-01,1324359.0
1984-07-01,1349347.0
1984-10-01,1364773.0
1985-01-01,1361272.0
1985-04-01,1393455.0
1985-07-01,1418064.0
1985-10-01,1443937.0
1986-01-01,1461027.0
1986-04-01,1472999.0
1986-07-01,1500978.0
1986-10-01,1500464.0
1987-01-01,1512107.0
1987-04-01,1540662.0
1987-07-01,1567576.0
1987-10-01,1628364.0
1988-01-01,1599728.0
1988-04-01,1632941.0
1988-07-01,1637695.0
1988-10-01,1678795.0
1989-01-01,1721911.0
1989-04-01,1727315.0
1989-07-01,1741975.0
1989-10-01,1729133.0
1990-01-01,1779821.0
1990-04-01,1769286.0
1990-07-01,1754085.0
1990-10-01,1692113.0
1991-01-01,1656948.0
1991-04-01,1667140.0
1991-07-01,1696606.0
1991-10-01,1718652.0
1992-01-01,1721606.0
1992-04-01,1779998.0
1992-07-01,1798496.0
1992-10-01,1842150.0
1993-01-01,1866455.0
1993-04-01,1900525.0
1993-07-01,1907611.0
1993-10-01,1985467.0
1994-01-01,2028897.0
1994-04-01,2107908.0
1994-07-01,2116253.0
1994-10-01,2191438.0
1995-01-01,2207327.0
1995-04-01,2192376.0
1995-07-01,2202768.0
1995-10-01,2242748.0
1996-01-01,2279264.0
1996-04-01,2358424.0
1996-07-01,2420460.0
1996-10-01,2438904.0
1997-01-01,2491015.0
1997-04-01,2555203.0
1997-07-01,2621829.0
1997-10-01,2654547.0
1998-01-01,2726681.0
1998-04-01,2749162.0
1998-07-01,2822760.0
1998-10-01,2910618.0
1999-01-01,2971547.0
1999-04-01,3004639.0
1999-07-01,3072778.0
1999-10-01,3151159.0
2000-01-01,3217288.0
2000-04-01,3321035.0
2000-07-01,3314873.0
2000-10-01,3334117.0
2001-01-01,3245040.0
2001-04-01,3257875.0
2001-07-01,3218468.0
2001-10-01,3212222.0
2002-01-01,3263405.0
2002-04-01,3288836.0
2002-07-01,3320191.0
2002-10-01,3322279.0
2003-01-01,3331849.0
2003-04-01,3376431.0
2003-07-01,3490995.0
2003-10-01,3586317.0
2004-01-01,3624974.0
2004-04-01,3744111.0
2004-07-01,3824463.0
2004-10-01,3923910.0
2005-01-01,4023845.0
2005-04-01,4049017.0
2005-07-01,4123693.0
2005-10-01,4209963.0
2006-01-01,4327881.0
2006-04-01,4334962.0
2006-07-01,4343937.0
2006-10-01,4330150.0
2007-01-01,4343303.0
2007-04-01,4399834.0
2007-07-01,4398698.0
2007-10-01,4371011.0
2008-01-01,4263316.0
2008-04-01,4241268.0
2008-07-01,4169540.0
2008-10-01,3900036.0
2009-01-01,3604446.0
2009-04-01,3450455.0
2009-07-01,3464828.0
2009-10-01,3597534.0
2010-01-01,3623997.0
2010-04-01,3770764.0
2010-07-01,3867806.0
2010-10-01,3892007.0
2011-01-01,3861337.0
2011-04-01,3944963.0
2011-07-01,3976618.0
2011-10-01,4178714.0
2012-01-01,4266696.0
2012-04-01,4331792.0
2012-07-01,4339021.0
2012-10-01,4345131.0
2013-01-01,4450431.0
2013-04-01,4484136.0
2013-07-01,4596888.0
2013-10-01,4630689.0
2014-01-01,4612427.0
2014-04-01,4791134.0
2014-07-01,4887291.0
2014-10-01,4938124.0
2015-01-01,5045511.0
2015-04-01,5088611.0
2015-07-01,5106854.0
2015-10-01,5056294.0
2016-01-01,5055199.0
2016-04-01,5063328.0
2016-07-01,5087930.0
2016-10-01,5198570.0
2017-01-01,5219536.0
2017-04-01,5307228.0
2017-07-01,5384522.0
2017-10-01,5501385.0
2018-01-01,5592653.0
2018-04-01,5679983.0
2018-07-01,5765718.0
2018-10-01,5800241.0
2019-01-01,5902766.0
2019-04-01,5990627.0
2019-07-01,6031483.0
2019-10-01,5993572.0
2020-01-01,5914462.0
2020-04-01,5315498.0
2020-07-01,6131615.0
2020-10-01,6365736.0
2021-01-01,6550754.0
2021-04-01,6675154.0
2021-07-01,6774548.0
2021-10-01,7247571.0
