DATE,UMCSENT
1999/1/1,103.9
1999/2/1,108.1
1999/3/1,105.7
1999/4/1,104.6
1999/5/1,106.8
1999/6/1,107.3
1999/7/1,106
1999/8/1,104.5
1999/9/1,107.2
1999/10/1,103.2
1999/11/1,107.2
1999/12/1,105.4
2000/1/1,112
2000/2/1,111.3
2000/3/1,107.1
2000/4/1,109.2
2000/5/1,110.7
2000/6/1,106.4
2000/7/1,108.3
2000/8/1,107.3
2000/9/1,106.8
2000/10/1,105.8
2000/11/1,107.6
2000/12/1,98.4
2001/1/1,94.7
2001/2/1,90.6
2001/3/1,91.5
2001/4/1,88.4
2001/5/1,92
2001/6/1,92.6
2001/7/1,92.4
2001/8/1,91.5
2001/9/1,81.8
2001/10/1,82.7
2001/11/1,83.9
2001/12/1,88.8
2002/1/1,93
2002/2/1,90.7
2002/3/1,95.7
2002/4/1,93
2002/5/1,96.9
2002/6/1,92.4
2002/7/1,88.1
2002/8/1,87.6
2002/9/1,86.1
2002/10/1,80.6
2002/11/1,84.2
2002/12/1,86.7
2003/1/1,82.4
2003/2/1,79.9
2003/3/1,77.6
2003/4/1,86
2003/5/1,92.1
2003/6/1,89.7
2003/7/1,90.9
2003/8/1,89.3
2003/9/1,87.7
2003/10/1,89.6
2003/11/1,93.7
2003/12/1,92.6
2004/1/1,103.8
2004/2/1,94.4
2004/3/1,95.8
2004/4/1,94.2
2004/5/1,90.2
2004/6/1,95.6
2004/7/1,96.7
2004/8/1,95.9
2004/9/1,94.2
2004/10/1,91.7
2004/11/1,92.8
2004/12/1,97.1
2005/1/1,95.5
2005/2/1,94.1
2005/3/1,92.6
2005/4/1,87.7
2005/5/1,86.9
2005/6/1,96
2005/7/1,96.5
2005/8/1,89.1
2005/9/1,76.9
2005/10/1,74.2
2005/11/1,81.6
2005/12/1,91.5
2006/1/1,91.2
2006/2/1,86.7
2006/3/1,88.9
2006/4/1,87.4
2006/5/1,79.1
2006/6/1,84.9
2006/7/1,84.7
2006/8/1,82
2006/9/1,85.4
2006/10/1,93.6
2006/11/1,92.1
2006/12/1,91.7
2007/1/1,96.9
2007/2/1,91.3
2007/3/1,88.4
2007/4/1,87.1
2007/5/1,88.3
2007/6/1,85.3
2007/7/1,90.4
2007/8/1,83.4
2007/9/1,83.4
2007/10/1,80.9
2007/11/1,76.1
2007/12/1,75.5
2008/1/1,78.4
2008/2/1,70.8
2008/3/1,69.5
2008/4/1,62.6
2008/5/1,59.8
2008/6/1,56.4
2008/7/1,61.2
2008/8/1,63
2008/9/1,70.3
2008/10/1,57.6
2008/11/1,55.3
2008/12/1,60.1
2009/1/1,61.2
2009/2/1,56.3
2009/3/1,57.3
2009/4/1,65.1
2009/5/1,68.7
2009/6/1,70.8
2009/7/1,66
2009/8/1,65.7
2009/9/1,73.5
2009/10/1,70.6
2009/11/1,67.4
2009/12/1,72.5
2010/1/1,74.4
2010/2/1,73.6
2010/3/1,73.6
2010/4/1,72.2
2010/5/1,73.6
2010/6/1,76
2010/7/1,67.8
2010/8/1,68.9
2010/9/1,68.2
2010/10/1,67.7
2010/11/1,71.6
2010/12/1,74.5
2011/1/1,74.2
2011/2/1,77.5
2011/3/1,67.5
2011/4/1,69.8
2011/5/1,74.3
2011/6/1,71.5
2011/7/1,63.7
2011/8/1,55.8
2011/9/1,59.5
2011/10/1,60.8
2011/11/1,63.7
2011/12/1,69.9
2012/1/1,75
2012/2/1,75.3
2012/3/1,76.2
2012/4/1,76.4
2012/5/1,79.3
2012/6/1,73.2
2012/7/1,72.3
2012/8/1,74.3
2012/9/1,78.3
2012/10/1,82.6
2012/11/1,82.7
2012/12/1,72.9
2013/1/1,73.8
2013/2/1,77.6
2013/3/1,78.6
2013/4/1,76.4
2013/5/1,84.5
2013/6/1,84.1
2013/7/1,85.1
2013/8/1,82.1
2013/9/1,77.5
2013/10/1,73.2
2013/11/1,75.1
2013/12/1,82.5
2014/1/1,81.2
2014/2/1,81.6
2014/3/1,80
2014/4/1,84.1
2014/5/1,81.9
2014/6/1,82.5
2014/7/1,81.8
2014/8/1,82.5
2014/9/1,84.6
2014/10/1,86.9
2014/11/1,88.8
2014/12/1,93.6
2015/1/1,98.1
2015/2/1,95.4
2015/3/1,93
2015/4/1,95.9
2015/5/1,90.7
2015/6/1,96.1
2015/7/1,93.1
2015/8/1,91.9
2015/9/1,87.2
2015/10/1,90
2015/11/1,91.3
2015/12/1,92.6
2016/1/1,92
2016/2/1,91.7
2016/3/1,91
2016/4/1,89
2016/5/1,94.7
2016/6/1,93.5
2016/7/1,90
2016/8/1,89.8
2016/9/1,91.2
2016/10/1,87.2
2016/11/1,93.8
2016/12/1,98.2
2017/1/1,98.5
2017/2/1,96.3
2017/3/1,96.9
2017/4/1,97
2017/5/1,97.1
2017/6/1,95
2017/7/1,93.4
2017/8/1,96.8
2017/9/1,95.1
2017/10/1,100.7
2017/11/1,98.5
2017/12/1,95.9
2018/1/1,95.7
2018/2/1,99.7
2018/3/1,101.4
2018/4/1,98.8
2018/5/1,98
2018/6/1,98.2
2018/7/1,97.9
2018/8/1,96.2
2018/9/1,100.1
2018/10/1,98.6
2018/11/1,97.5
2018/12/1,98.3
2019/1/1,91.2
2019/2/1,93.8
2019/3/1,98.4
2019/4/1,97.2
2019/5/1,100
2019/6/1,98.2
2019/7/1,98.4
2019/8/1,89.8
2019/9/1,93.2
2019/10/1,95.5
2019/11/1,96.8
2019/12/1,99.3
2020/1/1,99.8
2020/2/1,101
2020/3/1,89.1
2020/4/1,71.8
2020/5/1,72.3
2020/6/1,78.1
2020/7/1,72.5
2020/8/1,74.1
2020/9/1,80.4
2020/10/1,81.8
2020/11/1,76.9
2020/12/1,80.7
2021/1/1,79
2021/2/1,76.8
2021/3/1,84.9
2021/4/1,88.3
2021/5/1,82.9
2021/6/1,85.5
2021/7/1,81.2
2021/8/1,70.3
2021/9/1,72.8
2021/10/1,71.7
2021/11/1,67.4
2021/12/1,70.6
2022/1/1,67.2
2022/2/1,62.8
