,N
0,negative 
1,negatives 
2,fail 
3,fails 
4,failing 
5,failure 
6,weak 
7,weakness 
8,weaknesses 
9,difficult 
10,hurdle 
11,hurdles 
12,obstacle 
13,obstacles 
14,slump 
15,slumps 
16,slumping 
17,slumped 
18,uncertain 
19,unsettled 
20,unfavorable 
21,downturn 
22,depressed 
23,disappoint 
24,disappoints 
25,disappointed 
26,disappointment 
27,risk 
28,risks 
29,risky 
30,threat 
31,threats 
32,penalty 
33,penalties 
34,down
35,decrease 
36,decreases 
37,decreasing 
38,decreased 
39,decline 
40,declines 
41,declining 
42,declined 
43,fall 
44,falls
45,falling 
46,fell 
47,fallen 
48,drop 
49,drops 
50,dropping 
51,dropped 
52,deteriorate 
53,deteriorates 
54,deteriorated 
55,worsen 
56,worsens 
57,worsening 
58,weaken 
59,weakens 
60,weakening 
61,weakened 
62,worst 
63,low 
64,lower 
65,lowest 
66,less 
67,least 
68,smaller 
69,smallest 
70,shrink 
71,shrinks 
72,shrinking 
73,shrunk 
74,below
75,under 
76,challenge 
77,challenges 
78,challenging 
