,P
0,positive 
1,positives 
2,success 
3,successes 
4,successful 
5,succeed 
6,succeeds 
7,succeeded 
8,accomplish 
9,accomplishes 
10,accomplishing 
11,accomplished 
12,accomplishments 
13,strong 
14,strength 
15,strengths 
16,certain 
17,certainty 
18,definite 
19,solid 
20,good 
21,leading 
22,achieve 
23,achieves 
24,achieved 
25,achieving 
26,achievement 
27,progress 
28,progressing 
29,deliver 
30,delivers 
31,delivered 
32,delivering 
33,leader 
34,leading 
35,pleased 
36,rewards 
37,rewarding 
38,rewarded 
39,opportunity 
40,opportunities 
41,enjoy 
42,enjoys 
43,enjoying 
44,encouraged 
45,encouraging 
46,up 
47,increase 
48,increases 
49,increasing 
50,increased 
51,rise 
52,rises 
53,rising
54,rose 
55,risen 
56,improve 
57,improves 
58,improving 
59,improved 
60,improvement 
61,improvements 
62,strengthens 
63,strengthening 
64,strengthened 
65,stronger 
66,strongest 
67,better 
68,best 
69,more 
70,most 
71,above
72,record 
73,high 
74,higher 
75,highest 
76,greater 
77,greatest 
78,larger 
79,largest 
80,grow 
81,grows 
82,growing 
83,grew 
84,grown
85,growth 
86,expand 
87,expands 
88,expanding 
89,expanded 
90,expansion 
91,exceed 
92,exceeds 
93,exceeded
94,exceeding 
95,beat 
96,beats 
97,beating
